Race,Age.Group,Year.of.diagnosis,Sex,Count
0,2,38,0,60
0,2,38,1,37
0,2,38,2,23
0,2,39,0,57
0,2,39,1,31
0,2,39,2,26
0,2,40,0,68
0,2,40,1,39
0,2,40,2,29
0,2,41,0,60
0,2,41,1,38
0,2,41,2,22
0,2,42,0,77
0,2,42,1,43
0,2,42,2,34
0,2,43,0,75
0,2,43,1,46
0,2,43,2,29
0,2,44,0,68
0,2,44,1,44
0,2,44,2,24
0,2,45,0,58
0,2,45,1,36
0,2,45,2,22
0,3,0,0,1840
0,3,0,1,1068
0,3,0,2,772
0,3,1,0,28
0,3,1,1,15
0,3,1,2,13
0,3,2,0,32
0,3,2,1,13
0,3,2,2,19
0,3,3,0,31
0,3,3,1,19
0,3,3,2,12
0,3,4,0,26
0,3,4,1,16
0,3,4,2,10
0,3,5,0,30
0,3,5,1,16
0,3,5,2,14
0,3,6,0,27
0,3,6,1,19
0,3,6,2,8
0,3,7,0,29
0,3,7,1,17
0,3,7,2,12
0,3,8,0,41
0,3,8,1,23
0,3,8,2,18
0,3,9,0,28
0,3,9,1,22
0,3,9,2,6
0,3,10,0,46
0,3,10,1,24
0,3,10,2,22
0,3,11,0,43
0,3,11,1,23
0,3,11,2,20
0,3,12,0,24
0,3,12,1,13
0,3,12,2,11
0,3,13,0,38
0,3,13,1,20
0,3,13,2,18
0,3,14,0,20
0,3,14,1,14
0,3,14,2,6
0,3,15,0,40
0,3,15,1,24
0,3,15,2,16
0,3,16,0,30
0,3,16,1,12
0,3,16,2,18
0,3,17,0,33
0,3,17,1,16
0,3,17,2,17
0,3,18,0,38
0,3,18,1,21
0,3,18,2,17
0,3,19,0,33
0,3,19,1,21
0,3,19,2,12
0,3,20,0,25
0,3,20,1,14
0,3,20,2,11
0,3,21,0,39
0,3,21,1,22
0,3,21,2,17
0,3,22,0,40
0,3,22,1,21
0,3,22,2,19
0,3,23,0,39
0,3,23,1,24
0,3,23,2,15
0,3,24,0,44
0,3,24,1,27
0,3,24,2,17
0,3,25,0,37
0,3,25,1,24
0,3,25,2,13
0,3,26,0,34
0,3,26,1,15
0,3,26,2,19
0,3,27,0,53
0,3,27,1,32
0,3,27,2,21
0,3,28,0,42
0,3,28,1,30
0,3,28,2,12
0,3,29,0,42
0,3,29,1,23
0,3,29,2,19
0,3,30,0,50
0,3,30,1,25
0,3,30,2,25
0,3,31,0,56
0,3,31,1,36
0,3,31,2,20
0,3,32,0,50
0,3,32,1,28
0,3,32,2,22
0,3,33,0,42
